SR_NUMBER,USER_ID,SR_TYPE,SR_TYPE_DESC,PRIORITY,GROUP_ID,GROUP_TITLE,GROUP_DESC,DEPT_CODE,DEPT_NAME,DEPT_DIVISION,ADDRESS,LOCATION,NEIGHBORHOOD,ZIPCODE,NEAREST_PARCEL_NO,METHOD_RECEIVED,DATE_CREATED,TIME_RECEIVED,DATE_CLOSED,SR_STATUS,SR_STATUS_FLAG,DATE_STATUS_CHANGE,TIME_STATUS_CHANGE,DATE_LAST_UPDATE,TIME_LAST_UPDATE,PLANNED_HOURS_TOSTART_RESPONSE,PLANNED_RESPONSE_TIME,PLANNED_END_DATE,PLANNED_COMPLETION_DAYS,DATE_DISPATCHED,TIME_DISPATCHED,DATE_REVISED_COMPLETION,DATE_REVISED_COMPLETION_REASON,COLLECTION_SPECIAL_DATE,COLLECTION_DAY,COLLECTION_ROUTE,COLLECTION_DIST,TRANSFER_ALLOW,TRANSFERED_NUM_TIMES,PROPTY_CITY_OWNED_YN,PROPTY_CITY_DEPT_OWNER,STREET_NO,STREET_DIRECTION,STREET_NAME,CITY_ID,STRUCTURE_ID,FLOOR_ID,UNIT_ID,MUNITWNSHP,REQUEST_RETURN_CALL,NUM_BULKY_ITEMS,BULKY_ITEM_1,BULKY_ITEM_2,BULKY_ITEM_3,BULKY_ITEM_4,BULKY_ITEM_5,NUM_TIRES,NUM_FREONS,NUM_SOFABEDS,NUM_POTHOLES,POLICE_DISTRICT,POLICE_RPT_AREA,TRASH_RECYCLE_CART_ID,SEGIDUSNG_XREF,LATITUDE,LONGITUDE,DATE_TIME_RECEIVED,COMMUNITY_COUNCIL_NEIGHBORHOOD,HAM_PAVE_POLYGON_ID
SR25000204,MOBILE,GRAFFITI,PARK GRAFFITI,STANDARD,"2,900",PARKS-DEFAULT,PARKS DEFAULT,PARKS,PARK DEPARTMENT,,2319 OXFORD AV,"2319 OXFORD AV, CINC - GJ2585430754",MT. WASHINGTON,45230.0,000100050086,INTERNET,2025 Jan 02 12:00:00 AM,9:28 AM,2025 Apr 09 12:00:00 AM,CLOSED,CLOSED,2025 Apr 09 12:00:00 AM,8:49 AM,2025 Apr 09 12:00:00 AM,8:49 AM,72,1/5/25,2025 Feb 01 12:00:00 AM,30,,,,,,WEDNESDAY,WED11,2,Y,0,,,"2,319",,OXFORD AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,GJ2585430754,39.09670031,-84.38835379,1/2/25,MOUNT WASHINGTON,S-HAM14753
SR25000496,KBEHANAN,TIRES,"TIRES, SPECIAL COLLECTION",STANDARD,105,STREET CLEANING,PS-STREET CLEANING,PUB SERV,PUBLIC SERVICES,NOD,4719 GREEN GLEN LN,4719 GREEN GLEN LN - GJ0788433198,WEST PRICE HILL,45238.0,018200050029,311 CALL,2025 Jan 02 12:00:00 AM,4:28 PM,2025 Jan 27 12:00:00 AM,CLOSED,CLOSED,2025 Jan 27 12:00:00 AM,9:22 AM,2025 Jan 27 12:00:00 AM,9:22 AM,336,1/16/25,2025 Jan 16 12:00:00 AM,14,,,,,2025 Jan 06 12:00:00 AM,MONDAY,MON06,1,Y,0,,,"4,719",,GREEN GLEN LN,CINC,,,,CINCINNATI,,0.0,4 TIRES,,,,,4.0,0.0,0,0,3.0,98,,GJ0788433198,39.1231618,-84.59523852,1/2/25,WEST PRICE HILL,S-HAM37150
SR25000471,DBROWN,TIRES,"TIRES, SPECIAL COLLECTION",STANDARD,105,STREET CLEANING,PS-STREET CLEANING,PUB SERV,PUBLIC SERVICES,NOD,5542 DUNNING PL,5542 DUNNING PL - GJ2482337329,MADISONVILLE,45227.0,003600010153,311 CALL,2025 Jan 02 12:00:00 AM,3:37 PM,2025 Jan 27 12:00:00 AM,CLOSED,CLOSED,2025 Jan 27 12:00:00 AM,9:13 AM,2025 Jan 27 12:00:00 AM,9:13 AM,336,1/16/25,2025 Jan 16 12:00:00 AM,14,,,,,2025 Jan 08 12:00:00 AM,WEDNESDAY,WED27,1,Y,0,,,"5,542",,DUNNING PL,CINC,,,,CINCINNATI,,0.0,4 TIRES,,,,,4.0,0.0,0,0,2.0,97,,GJ2482337329,39.15614873,-84.39809888,1/2/25,MADISONVILLE,
SR25000504,TMINTER,TIRES,"TIRES, SPECIAL COLLECTION",STANDARD,105,STREET CLEANING,PS-STREET CLEANING,PUB SERV,PUBLIC SERVICES,NOD,4137 GORDON ST,4137 GORDON ST - GJ1192837780,NORTHSIDE,45223.0,019500280299,311 CALL,2025 Jan 02 12:00:00 AM,4:43 PM,2025 Jan 27 12:00:00 AM,CLOSED,CLOSED,2025 Jan 27 12:00:00 AM,9:15 AM,2025 Jan 27 12:00:00 AM,9:15 AM,336,1/16/25,2025 Jan 16 12:00:00 AM,14,,,,,2025 Jan 09 12:00:00 AM,THURSDAY,THU17,3,Y,0,,,"4,137",,GORDON ST,CINC,,,,CINCINNATI,,0.0,4 TIRES,,,,,4.0,0.0,0,0,3.0,98,,GJ1192837780,39.16343844,-84.54706031,1/2/25,NORTHSIDE,S-HAM07355
SR25000457,MOBILE,TIRES,"TIRES, SPECIAL COLLECTION",STANDARD,105,STREET CLEANING,PS-STREET CLEANING,PUB SERV,PUBLIC SERVICES,NOD,2509 WARSAW AV,"2509 WARSAW AV, CINC - GJ1132231690",EAST PRICE HILL,45204.0,017500150124,INTERNET,2025 Jan 02 12:00:00 AM,3:21 PM,2025 Jan 27 12:00:00 AM,CLOSED,CLOSED,2025 Jan 27 12:00:00 AM,9:21 AM,2025 Jan 27 12:00:00 AM,9:21 AM,336,1/16/25,2025 Jan 16 12:00:00 AM,14,,,,,2025 Jan 10 12:00:00 AM,MONDAY,,,Y,0,,,"2,509",,WARSAW AV,CINC,,,,CINCINNATI,,0.0,1 TIRE,,,,,1.0,0.0,0,0,3.0,98,,GJ1132231690,39.10893459,-84.55588009,1/2/25,EAST PRICE HILL,S-HAM01751
SR25000501,MOBILE,TIRES,"TIRES, SPECIAL COLLECTION",STANDARD,105,STREET CLEANING,PS-STREET CLEANING,PUB SERV,PUBLIC SERVICES,NOD,2039 BALTIMORE AV,"2039 BALTIMORE AV, CINC - GJ1072535289",NORTH FAIRMOUNT,45225.0,020600010138,INTERNET,2025 Jan 02 12:00:00 AM,4:41 PM,2025 Jan 27 12:00:00 AM,CLOSED,CLOSED,2025 Jan 27 12:00:00 AM,9:18 AM,2025 Jan 27 12:00:00 AM,9:18 AM,336,1/16/25,2025 Jan 16 12:00:00 AM,14,,,,,2025 Jan 09 12:00:00 AM,THURSDAY,THU13,3,Y,0,,,"2,039",,BALTIMORE AV,CINC,,,,CINCINNATI,,0.0,4 TIRES,,,,,4.0,0.0,0,0,3.0,98,,GJ1072535289,39.14130922,-84.56173242,1/2/25,EAST WESTWOOD,S-HAM11845
SR25000428,MOBILE,TIRES,"TIRES, SPECIAL COLLECTION",STANDARD,105,STREET CLEANING,PS-STREET CLEANING,PUB SERV,PUBLIC SERVICES,NOD,2517 WARSAW AV,"2517 WARSAW AV, CINC - GJ1128031731",EAST PRICE HILL,45204.0,017500150112,INTERNET,2025 Jan 02 12:00:00 AM,2:34 PM,2025 Jan 27 12:00:00 AM,CLOSED,CLOSED,2025 Jan 27 12:00:00 AM,9:20 AM,2025 Jan 27 12:00:00 AM,9:20 AM,336,1/16/25,2025 Jan 16 12:00:00 AM,14,,,,,2025 Jan 06 12:00:00 AM,MONDAY,MON17,3,Y,0,,,"2,517",,WARSAW AV,CINC,,,,CINCINNATI,,0.0,2 TIRES,,,,,2.0,0.0,0,0,3.0,98,,GJ1128031731,39.10914692,-84.55645031,1/2/25,EAST PRICE HILL,
SR25000214,CCSRWEB,TRASH,"TRASH, IMPROPER SET OUT",STANDARD,142,LITTER,PS-LITTER OFFICER,PUB SERV,PUBLIC SERVICES,NOD,1820 CREST HILL AV,"1820 CREST HILL AV, CINC - GJ1977442638",ROSELAWN,45237.0,011700150135,INTERNET,2025 Jan 02 12:00:00 AM,9:34 AM,2025 Jan 24 12:00:00 AM,ABAT-OWN,CLOSED,2025 Jan 24 12:00:00 AM,12:37 PM,2025 Jan 24 12:00:00 AM,12:37 PM,48,1/4/25,2025 Jan 04 12:00:00 AM,2,,,,,,TUESDAY,TUE22,1,Y,0,,,"1,820",,CREST HILL AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,4.0,99,,GJ1977442638,39.20523135,-84.45474058,1/2/25,ROSELAWN,
SR25000235,CCSRWEB,DUMPING,"DUMPING, PRV PROP <2500 SQ FT",STANDARD,"19,531",PLAP PROGRAM,BUILD-PLAP,BUILD,CINC BUILDING DEPT,,134 W MITCHELL AV,"134 W MITCHELL AV, CINC -",CLIFTON,45232.0,022300020010,INTERNET,2025 Jan 02 12:00:00 AM,9:59 AM,,NEW,OPEN,2025 Jan 02 12:00:00 AM,9:59 AM,2025 Jan 02 12:00:00 AM,9:59 AM,48,1/4/25,2025 Feb 16 12:00:00 AM,45,,,,,,,,,Y,0,,,134,W,MITCHELL AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,4.0,99,,,39.16263405,-84.50856333,1/2/25,CLIFTON,I-GJ15253780
SR25000394,KCLAY,TRASH,"TRASH, IMPROPER SET OUT",STANDARD,"19,531",PLAP PROGRAM,BUILD-PLAP,BUILD,CINC BUILDING DEPT,,4918 RELLEUM AV,4918 RELLEUM AV - GJ0741732792,WEST PRICE HILL,45238.0,018300020201,311 CALL,2025 Jan 02 12:00:00 AM,1:43 PM,2025 Jan 03 12:00:00 AM,DUPLICAT,CLOSED,2025 Jan 03 12:00:00 AM,6:43 AM,2025 Jan 03 12:00:00 AM,6:43 AM,48,1/4/25,2025 Jan 04 12:00:00 AM,2,,,,,,MONDAY,MON06,1,Y,0,,,"4,918",,RELLEUM AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,GJ0741732792,39.11962061,-84.60075996,1/2/25,WEST PRICE HILL,
